CustomerID,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,LifetimeValue,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Cash On Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_Unified Payment Interface,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Cluster
50013,1,0,1,11,2,3,3,2,1,13,2,2,2,134,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
50014,1,0,1,15,3,4,3,1,1,17,0,1,0,134,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
50015,1,9,3,15,3,4,2,2,0,16,0,4,7,196,576,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
50016,1,10,2,12,3,3,5,5,1,22,1,1,2,121,224,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
50017,1,0,1,12,2,4,2,2,1,18,1,1,0,129,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
50018,1,0,3,11,2,4,3,2,1,11,1,1,3,157,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
50019,1,0,1,13,3,5,3,2,1,24,1,1,6,161,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
50020,1,19,1,20,3,3,4,10,1,18,1,4,3,150,1368,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
50021,1,0,3,12,3,5,3,5,1,18,6,7,7,162,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
50022,1,20,1,29,3,3,2,2,0,12,11,15,6,203,3600,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2
50023,1,10,3,28,2,3,3,2,1,19,0,1,0,117,193,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
50024,1,0,3,26,3,5,3,4,1,11,1,2,2,146,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
50025,1,14,1,14,2,5,2,3,0,15,0,1,3,207,210,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
50026,1,0,1,15,2,3,5,8,0,22,1,1,4,142,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
50027,0,8,3,6,3,3,4,2,0,13,1,1,6,173,104,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
50028,0,10,3,12,2,3,3,3,1,20,0,4,5,123,815,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
50029,0,18,1,15,2,3,4,9,0,18,1,1,15,123,324,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
50030,0,5,3,14,2,3,2,2,0,14,2,3,7,190,210,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
50031,0,2,1,6,2,3,3,2,0,13,0,1,9,143,26,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50032,0,0,1,13,2,4,3,3,0,17,1,1,0,161,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50033,0,30,1,15,3,4,4,5,1,20,1,1,0,133,600,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
50034,0,13,3,10,3,4,2,8,0,11,2,2,11,209,286,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
50035,0,10,3,8,3,3,3,7,0,18,1,1,2,122,183,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
50036,0,0,1,15,3,3,2,2,0,24,0,2,2,123,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
50037,0,10,1,15,2,3,4,7,0,18,0,2,2,120,366,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
50038,0,1,1,27,2,3,2,2,0,11,0,1,2,127,11,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
50039,0,30,1,30,2,2,2,4,1,16,1,1,4,194,480,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
50040,0,0,1,15,3,4,3,2,1,15,0,1,1,126,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
50041,0,23,1,17,2,3,4,4,0,15,2,4,4,299,1445,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
50042,0,14,1,15,2,3,3,5,0,12,1,1,8,125,168,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
50043,0,3,3,11,2,3,2,3,0,12,2,7,4,194,252,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
50044,0,11,3,6,2,4,2,5,0,22,1,1,1,187,242,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
50045,0,5,1,12,2,3,3,4,0,20,0,1,4,130,100,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
50046,0,0,1,23,2,3,4,1,1,16,1,1,1,131,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
50047,1,0,3,15,3,5,5,1,0,21,1,1,0,123,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
50048,0,10,1,9,1,3,4,5,0,12,4,7,2,121,855,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
50049,0,3,1,15,2,3,5,2,0,11,0,6,10,131,198,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
50050,0,18,3,10,1,3,5,5,1,11,0,1,3,150,198,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
50051,0,29,1,14,3,3,5,5,1,18,1,2,2,143,1044,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
50052,0,6,1,15,2,3,2,1,0,14,0,1,2,125,84,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
50053,1,0,1,8,2,4,2,2,0,22,0,1,0,111,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
50054,0,19,3,6,3,3,5,2,0,25,4,15,7,205,7125,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2
50055,0,10,1,15,3,3,2,2,0,12,1,2,1,123,244,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
50056,0,4,1,18,3,3,2,9,1,23,1,1,2,139,92,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
50057,0,10,1,33,3,3,4,3,0,15,1,1,2,123,152,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
50058,1,4,3,26,2,3,4,2,1,22,0,1,2,131,88,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
50059,0,23,1,6,2,4,3,3,0,15,0,1,2,137,345,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
50060,0,26,1,19,2,2,5,2,0,11,1,1,3,145,286,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
50061,0,6,1,20,2,3,4,2,0,13,0,1,6,128,78,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
50062,0,13,1,10,2,3,3,2,0,14,1,9,9,290,1638,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
50063,0,28,1,20,3,2,4,9,0,11,1,2,15,287,616,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
50064,0,7,1,8,2,4,3,2,0,17,0,1,9,195,119,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
50065,0,24,1,9,3,3,4,4,0,18,0,3,0,237,1299,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
50066,0,25,1,6,3,4,3,1,0,15,1,11,9,300,4319,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2
50067,0,10,1,15,2,3,4,2,0,16,1,1,3,123,163,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
50068,1,0,1,29,2,4,3,4,1,13,1,1,1,159,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
50069,0,10,1,13,2,2,2,5,0,14,0,2,2,121,285,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
50070,0,18,1,8,3,4,2,10,0,23,1,11,8,268,4554,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2
50071,0,10,1,27,3,2,5,2,1,12,0,1,7,136,120,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
50072,0,8,1,8,2,3,4,6,0,11,1,1,2,144,88,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
50073,0,15,1,27,2,3,3,3,0,16,0,1,2,153,240,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
50074,0,11,1,8,2,3,3,10,0,14,0,1,0,166,154,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
50075,0,11,1,35,2,3,2,4,0,18,0,1,7,163,198,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50076,0,0,1,6,2,4,5,6,0,19,0,2,0,143,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50077,0,22,1,24,3,3,2,2,1,15,0,1,7,168,330,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
50078,0,7,1,16,2,3,3,2,1,17,2,2,0,138,238,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
50079,0,13,1,25,2,3,2,9,1,15,1,3,7,127,585,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50080,1,1,1,35,3,3,5,8,1,19,0,1,0,167,19,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50081,1,0,3,33,2,3,2,2,0,22,1,1,9,176,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
50082,0,0,1,15,2,2,4,2,1,16,0,2,2,123,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
50083,0,10,1,24,3,3,2,2,0,13,1,1,7,122,132,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
50084,0,13,1,15,3,4,2,10,0,14,1,1,2,149,182,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
50085,0,19,1,6,3,3,5,8,0,16,0,1,3,194,304,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
50086,1,0,3,10,2,5,2,2,0,11,7,9,8,204,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
50087,0,3,1,6,2,4,3,2,0,22,2,5,8,185,330,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
50088,0,0,3,26,2,3,3,2,0,14,1,1,7,200,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
50089,0,24,1,14,2,4,4,6,0,16,1,4,4,225,1536,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
50090,1,0,1,15,2,3,5,6,1,11,1,1,4,127,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
50091,0,14,3,12,3,3,2,4,1,18,0,3,0,236,758,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
50092,1,0,3,32,2,4,5,6,0,15,0,1,1,167,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
50093,1,10,1,6,2,3,3,1,0,14,0,1,5,121,142,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
50094,0,18,3,12,2,4,2,7,0,12,12,12,8,189,2592,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
50095,0,27,3,9,2,3,5,3,0,14,1,1,5,159,378,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
50096,0,9,1,11,3,3,4,9,0,16,0,3,7,159,432,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
50097,0,6,1,15,2,4,4,7,0,21,0,1,1,126,126,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
50098,0,10,1,17,2,3,2,2,1,14,0,1,4,222,140,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
50099,0,11,3,9,3,3,3,1,0,12,1,5,13,206,660,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
50100,0,4,1,6,2,5,3,1,0,12,1,1,4,143,48,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50101,0,10,1,9,3,4,2,4,0,17,0,1,0,122,173,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
50102,0,10,3,10,2,3,2,5,0,17,1,5,8,0,850,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
50103,0,2,3,6,2,3,2,2,0,14,4,4,1,179,112,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
50104,0,8,3,6,3,3,3,2,0,14,1,1,8,188,112,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
50105,1,0,1,15,2,4,2,2,1,13,0,1,1,124,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
50106,0,25,1,8,2,4,2,8,0,15,0,2,2,132,750,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
50107,0,15,1,10,2,3,2,2,0,15,0,11,15,292,2591,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
50108,0,10,2,12,2,3,3,9,0,17,2,2,2,123,346,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
50109,0,23,3,6,3,3,2,4,0,15,1,1,6,295,361,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
50110,1,0,1,15,2,3,2,6,1,13,0,1,4,124,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
50111,0,16,3,22,3,3,2,6,1,22,0,3,9,261,1058,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
50112,1,0,1,8,2,3,5,8,0,20,1,1,7,127,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
50113,0,25,3,8,3,4,3,2,1,18,1,15,12,291,6750,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2
50114,0,5,3,10,2,3,4,3,0,11,1,1,2,139,55,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
50115,1,0,1,6,3,4,3,1,1,14,1,1,2,137,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
50116,0,10,1,6,3,3,3,8,0,14,0,1,2,122,142,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
50117,0,5,3,32,3,3,2,1,0,18,1,2,2,145,180,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
50118,0,14,1,25,2,3,5,3,0,16,1,1,0,131,224,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
50119,0,13,1,30,3,3,2,2,0,17,2,4,7,133,884,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
50120,0,18,1,6,3,2,2,1,0,15,1,1,7,292,282,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
50121,0,4,1,9,3,3,3,10,0,12,1,3,2,237,144,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
50122,0,6,1,11,2,4,2,2,0,13,0,1,2,129,78,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
50123,0,7,1,8,2,4,5,7,0,13,0,5,9,160,455,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
50124,0,10,1,6,2,4,5,3,0,14,1,1,2,139,140,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
50125,0,18,1,13,3,2,3,5,0,17,0,1,2,164,306,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
50126,1,0,1,16,3,3,3,7,0,11,1,1,0,200,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
50127,0,12,1,8,3,3,3,1,0,25,10,11,4,209,3300,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2
50128,0,2,1,15,2,3,2,2,0,19,0,1,5,123,38,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
50129,0,15,1,23,2,2,5,4,1,13,0,1,2,165,195,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
50130,0,2,3,26,2,3,2,3,0,14,1,1,2,169,28,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
50131,0,0,1,6,3,3,3,1,0,12,1,1,2,149,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
50132,0,15,1,15,2,4,5,1,1,11,4,7,8,126,1155,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
50133,0,13,1,8,2,3,3,1,0,15,0,3,9,294,612,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
50134,0,24,1,6,2,3,2,2,0,11,1,1,0,127,264,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
50135,1,0,1,35,3,4,4,1,0,11,1,1,4,135,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
50136,0,5,1,13,2,2,4,2,0,20,0,1,3,128,100,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
50137,0,11,3,8,2,4,2,4,0,18,6,7,5,152,1386,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
50138,0,10,1,8,2,4,5,5,0,13,0,1,4,122,132,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
50139,0,19,3,8,3,5,4,4,1,12,1,7,7,269,1596,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
50140,1,0,1,8,3,3,3,3,0,11,1,1,0,135,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
50141,0,2,3,8,3,4,4,3,0,19,0,1,0,166,38,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50142,0,4,1,29,3,4,2,1,0,21,1,7,8,156,588,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50143,0,0,1,11,2,2,5,2,0,12,1,1,5,140,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
50144,0,18,1,26,3,3,2,1,1,14,0,3,10,235,758,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
50145,0,9,1,12,2,3,2,1,0,11,4,10,11,132,990,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
50146,0,28,1,6,2,3,5,1,1,14,1,4,13,290,1568,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
50147,1,10,1,35,2,3,4,2,1,12,5,9,4,218,1080,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
50148,0,10,1,15,3,3,2,2,0,23,1,1,4,121,234,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
50149,0,10,3,12,3,3,2,5,0,14,0,1,1,165,140,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50150,0,0,1,9,3,4,3,2,0,17,1,1,0,132,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
50151,0,10,1,6,0,3,2,3,1,18,0,3,2,236,541,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
50152,0,2,1,28,3,2,4,8,0,18,5,6,4,220,216,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
50153,0,11,3,13,2,2,5,2,1,24,0,7,7,156,1848,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
50154,0,0,1,6,2,3,4,2,0,20,0,1,4,164,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
50155,0,23,1,10,3,3,4,4,0,14,1,1,6,291,322,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
50156,0,26,1,9,2,3,3,4,1,16,1,1,3,276,416,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
50157,0,15,3,6,2,3,3,2,0,25,4,11,6,149,4125,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2
50158,0,2,3,8,2,3,2,2,0,18,0,1,9,146,36,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
50159,0,28,1,26,2,3,2,4,1,19,1,1,8,154,532,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50160,0,0,1,17,2,3,5,2,1,13,2,3,3,147,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50161,0,10,1,6,2,3,2,2,0,12,1,5,7,121,611,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
50162,1,7,1,30,2,3,3,4,1,22,0,1,0,132,154,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
50163,0,11,1,29,2,3,2,10,0,14,0,1,2,157,154,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
50164,1,0,1,15,2,3,4,3,1,13,1,1,2,124,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
50165,0,1,1,14,3,3,2,2,0,21,0,1,2,133,21,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
50166,0,22,1,16,2,3,5,10,1,11,1,1,2,287,242,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
50167,0,9,1,9,1,3,4,5,0,12,6,7,7,145,756,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
50168,0,4,3,11,2,3,4,2,0,11,0,2,2,128,88,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
50169,1,0,3,10,2,4,2,2,1,12,7,7,4,158,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
50170,0,10,1,15,2,3,2,2,1,12,0,1,2,123,120,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
50171,0,15,3,32,3,3,4,6,0,14,2,3,8,235,631,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
50172,1,10,1,9,2,3,3,2,0,13,0,1,0,114,132,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
50173,0,8,3,22,3,3,4,1,0,15,3,6,9,180,720,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
50174,0,9,1,24,2,2,2,5,0,18,0,1,0,137,162,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
50175,0,24,1,8,2,5,4,6,0,18,0,1,2,155,432,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
50176,0,14,3,8,2,3,4,2,0,19,1,3,4,260,800,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
50177,0,0,3,16,3,4,3,2,0,12,1,1,0,112,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
50178,0,1,1,22,3,2,5,1,0,19,0,1,7,157,19,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
50179,0,4,3,13,3,2,2,5,0,11,3,7,7,169,308,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
50180,0,12,1,6,2,2,2,1,0,17,3,3,7,196,612,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
50181,0,9,1,30,2,3,4,8,0,15,0,1,8,157,135,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
50182,0,5,3,13,3,4,3,2,0,14,1,4,8,155,280,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
50183,0,11,1,31,2,4,4,4,0,17,1,1,4,221,187,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
50184,0,30,1,6,2,5,3,3,1,13,1,1,2,157,390,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
50185,0,4,1,11,2,3,2,1,1,12,0,1,3,148,48,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
50186,0,4,2,8,3,4,5,4,0,12,0,1,0,164,48,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
50187,0,18,1,13,3,3,5,2,0,18,5,9,11,152,2916,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
50188,0,4,1,8,2,3,2,1,1,18,1,2,2,127,144,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
50189,0,6,1,11,3,3,4,7,0,11,2,8,4,219,528,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
50190,0,12,1,16,2,3,5,2,1,14,1,11,10,271,1848,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
50191,0,16,1,15,2,3,2,1,0,19,0,1,7,125,304,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
